Resin,Family,Default C-terminal,TFA factor (Amide/OH),Loading DIEA eq (Trityl only),Default loading (mmol/g),Notes,Coupling system,Reagent 1,Reagent 1 MW (g/mol),Reagent 1 density (g/mL),Reagent 1 phase,Additive,Additive MW (g/mol),Coupling base,Base MW (g/mol),Unnamed: 16,Modes,Resin input modes,Resins,Coupling systems,N-term modifiers,Linkers,Labels,Tags,C-terminal outputs,Stage,Multiplier,Depro steps (bold data only),Non-depro DMF units (bold data only),DCM units (bold data only),DMF mL,Piperidine mL,DCM mL,Solvent split constants,Value
Rink Amide AM resin,DIC,NH2,10.0,0,0.4,DCM mL,DIC/HOBt,DIC,126.2,0.815,liquid,HOBt,135.13,,0.0,Value,Linear,Use resin mmol,Rink Amide AM resin,DIC/HOBt,,,,,NH2,Stage,Stage,Multiplier,Depro steps,DMF units,DCM units,DMF mL,Piperidine mL,Loading block is resin-dependent. Amide: depro 2 + reaction 1 + DMF wash 5. CTC/Trityl: depro 2 + non-depro DMF units 10.,Solvent split constants
Rink Amide MBHA resin,DIC,NH2,10.0,0,0.35,,DIC/Oxyma,DIC,126.2,0.815,liquid,Oxyma Pure,142.11,,0.0,0.8,Cyclic,Use resin mass+loading,Rink Amide MBHA resin,DIC/Oxyma,Ac,AA_A2,5-FAM,ALFA,OH,Loading,Loading - CTC/Trityl,resin-dependent,0,0.1,1.9,,,Regular synthesis excluding loading: depro 2 + pre-coupling DMF wash 2 + coupling 1 + post-coupling DMF wash 6.,Depro DMF ratio
Sieber Amide resin,DIC,NH2,10.0,0,0.5,,DIC/HOAt,DIC,126.2,0.815,liquid,HOAt,136.11,,0.0,0.2,Branched,,Sieber Amide resin,DIC/HOAt,Acetic acid,AA_A4,5-TAMRA,AviTag,,Synthesis,Loading - Amide,resin-dependent,2,11.6,0,,,Last/N-term cap: depro 2 + pre-coupling DMF wash 2 + cap/reaction 1 + post DMF wash 3 + DCM wash 3. Ac uses DIEA; Pal/Myr/Gal use DIC/HOBt like AA.,Depro piperidine ratio
2-Chlorotrityl chloride resin,Uronium,OH,0.5,3,0.8,,HBTU/HOBt/DIPEA,HBTU,379.25,,solid,HOBt,135.13,DIPEA,129.25,CTC/Trityl: DCM swell 1 + 90% DCM/10% DMF synthesis. Amide: DMF swell 1 + depro 2 + DMF wash 6 + DMF synthesis 1 + DMF wash 2.,,,2-Chlorotrityl chloride resin,HBTU/HOBt/DIPEA,Acetyl,AA_AP,6-FAM,FLAG,,Last / N-term cap,Regular / Last,matrix-driven,see main,see main,see main,,,Totals are computed from 01_MAIN_CONTROL step matrix. TOTAL rows are not step data.,Loading rule
Trityl chloride resin,Uronium,OH,0.5,3,0.8,,HATU/DIPEA,HATU,380.23,,solid,,0.0,DIPEA,129.25,,,,Trityl chloride resin,HATU/DIPEA,Alkyne,AA_G2,6-TAMRA,HA,,,,,,,,,,,
Wang resin,Phosphonium,OH,10.0,0,0.7,,PyBOP/DIPEA,PyBOP,520.39,,solid,,0.0,DIPEA,129.25,,,,Wang resin,PyBOP/DIPEA,Azide,AA_G4,Alexa488,His10,,,,,,,,,,,
